,MDAMB231_siTP53_rep1,MDAMB231_siTP53_rep2,MDAMB231_siTP53_rep3,MDAMB231_siCtrl_rep1,MDAMB231_siCtrl_rep2,MDAMB231_siCtrl_rep3
LOC112268189,110,117,109,102,116,79
LOC112268190,139,156,142,122,149,106
LOC112268195,47,46,44,58,77,46
LOC112268196,261,282,240,243,307,194
LOC112268199,31,17,32,45,109,18
LOC112268201,4,9,6,8,10,4
LOC112268202,6,3,6,3,5,3
HEXIM2-AS1,6,2,2,2,11,2
LOC112268213,28,30,18,20,26,22
LOC112268214,10,14,6,13,11,9
LOC112268218,144,167,144,149,165,117
LOC112268219,73,79,73,88,111,64
CDC42-AS1,13,14,15,14,8,10
LOC112268224,4,5,6,5,4,6
LOC112268225,12,23,15,16,24,14
LOC112268227,4,2,2,1,5,1
LOC112268231,2,4,2,1,5,1
LOC112268235,52,52,67,30,54,36
LOC112268236,16,17,19,17,21,15
LOC112268239,18,9,12,8,12,6
LINC02962,13,14,9,14,13,12
ZNF470-DT,19,28,27,39,33,19
ZSCAN5A-AS1,5,7,7,10,10,5
LOC112268244,23,28,25,22,28,14
LOC112268246,741,911,784,737,872,589
LOC112268250,16,18,10,12,15,9
LOC112268251,15,25,24,25,27,17
LOC112268253,5,6,3,10,31,3
LOC112268254,54,62,88,63,79,59
LOC112268256,82,71,91,73,98,78
LOC112268258,8,6,4,3,0,3
LOC112268259,249,262,276,276,323,224
LOC112268260,30,35,33,32,49,23
LOC112268262,1,2,1,4,6,5
LOC112268263,757,757,944,745,870,699
LOC112268266,5,8,7,4,3,4
LOC112268267,716,730,798,578,715,549
LOC112268269,104,120,99,109,134,99
LOC112268272,51,64,49,51,83,55
LOC112268274,19,17,14,19,21,12
LOC112268276,3,4,4,9,14,4
LOC112268278,4,2,9,9,8,6
LOC112268288,24,31,16,23,44,13
LOC112268289,21,19,20,13,25,16
LOC112268296,39,46,38,75,88,70
LOC112268297,5,7,6,2,9,4
LOC112268301,60,56,63,42,64,41
LOC112268307,4,3,4,3,2,1
LOC112268313,87,104,78,159,276,103
LOC112268314,3,2,2,3,2,3
LOC112268317,152,156,140,159,196,152
LOC112268318,3,5,3,3,8,3
LOC112268412,36,46,33,30,44,24
LOC112268415,163,172,157,156,207,158
LOC112268418,5,0,5,1,2,1
LOC112268419,140,157,150,149,166,122
LOC112268421,47,61,49,54,52,37
LOC112268422,12,13,20,12,27,10
LOC112268423,6,2,5,2,4,3
LOC112268426,130,156,134,79,118,83
LOC112268430,159,175,199,185,245,166
LOC112268432,11,8,11,1,8,5
LOC112268434,5,5,8,1,1,2
LOC112268437,287,299,320,518,612,401
LOC112268438,1,3,5,1,2,2
LOC112268444,46,48,60,75,81,54
LOC112268450,13,12,10,17,18,14
LOC112268457,4,1,3,1,4,4
LOC112268458,32,24,29,26,43,26
LOC112268460,438,507,389,600,754,508
LOC112268467,2,5,2,3,3,0
LOC112268469,20,9,10,13,26,17
LOC112268474,5,2,1,2,19,2
GALNT5,4472,4804,4655,3285,3716,3019
RASSF8,649,739,673,951,1148,885
CHN1,177,219,157,254,263,221
PRAF2,380,458,402,472,551,366
SEC63,2369,2738,2497,3054,3659,2729
POLG2,341,359,361,430,551,395
HPS5,613,685,623,1114,1332,934
PDCD10,1229,1406,1246,1316,1730,1221
RNF139,339,385,336,588,743,505
RNF24,1277,1364,1277,1025,1276,829
CA5B,90,104,101,103,134,94
EGLN2,664,823,666,787,982,579
EGLN3,182,223,234,165,202,120
CHN2,232,260,229,217,300,185
PMF1,491,635,468,614,764,497
ZHX1,1123,1189,1057,1365,1608,1210
SHLD3,56,57,62,83,102,71
GPR176,719,793,716,807,1005,701
CAVIN3,1727,2298,1777,1917,2420,1456
NXPH4,38,30,14,62,72,48
PRRT2,63,65,59,29,65,62
ERI2,209,218,183,277,364,261
NXPH3,4,3,3,5,5,5
SAT2,332,444,402,423,597,397
DTD2,216,300,208,312,452,292
GTF3C6,343,413,317,639,742,498
PTGDR2,81,85,63,94,113,85
PACSIN2,2515,2875,2488,3052,4015,2638
MAN1B1,2322,2832,2352,2758,3526,2181
SLC6A14,28,29,29,22,37,24
LOC112543491,41,52,45,41,53,31
SIRLNT,32,39,49,6,17,3
TP53TG1,16,16,17,25,31,11
SNX18,415,453,349,484,600,449
MUC5B-AS1,4,3,2,9,5,8
DCTN3,1038,1310,1033,1247,1564,980
FILIP1L,1018,1169,1016,618,680,547
CYTOR,1133,1219,1069,1234,1573,1061
XPOT,3616,4050,3626,4550,5708,3986
MRAP2,7,9,4,6,9,5
CHP1,2776,3156,2741,2648,3096,2300
RWDD2A,192,180,182,161,208,150
CMTM7,1770,2157,1733,1895,2365,1521
SP140,381,426,402,340,455,307
SREBF2-AS1,192,214,198,171,230,134
PXMP4,152,179,121,182,281,202
DUSP12,690,807,674,884,1019,720
SNF8,1930,2398,1872,2098,2672,1661
DDX19B,1017,1165,970,1075,1390,937
LOC112694756,13193,15933,12624,16182,20145,12377
NRM,963,1270,948,1344,1522,967
GARIN5A,23,37,18,40,54,27
TUBA3E,1,1,2,3,6,3
PRR4,25,33,25,36,37,24
RDH13,473,513,476,566,688,449
ATXN2L,3435,4305,3822,4588,5259,3478
USP18,20,19,20,32,44,24
KLHL2,1104,1175,1117,1205,1543,1107
IFT43,246,291,253,235,327,207
STX1B,36,30,30,23,30,23
SYNRG,1312,1470,1284,1323,1680,1170
TREX1,70,86,71,79,97,67
GLMP,1585,1886,1605,1422,1790,1234
KLF12,1153,1327,1327,1377,1668,1299
KLF8,31,40,36,68,89,51
TBILA,7,11,12,13,14,11
FDX2,380,469,370,444,602,366
HOGA1,5,6,4,5,10,3
MGAT4B,5988,6914,6026,4490,5359,3464
PNKP,658,806,710,825,1109,591
WDR89,308,313,273,508,702,547
ZKSCAN7-AS1,21,21,21,19,33,22
L3HYPDH,965,968,1118,531,736,549
B4GALT7,477,588,487,553,706,418
TP53RK,578,603,531,667,813,575
SGF29,164,221,174,252,285,185
LINC02605,4,11,9,16,16,10
SCAT2,20,13,20,12,22,14
VPS26B,1244,1392,1237,1395,1648,1039
NACC1,6660,8069,6670,6900,8649,5324
CFAP36,578,666,545,581,770,596
MED8,1091,1376,1110,1140,1333,913
KTI12,173,203,172,204,242,161
ADCY7,395,465,423,570,743,504
LYST,855,906,938,893,1119,867
RPUSD1,654,833,664,821,875,560
PLCD3,3527,4370,3714,4047,4743,2921
CHRM3,294,316,223,221,292,190
VPS45,993,1056,910,1017,1281,932
MTFR2,219,229,223,298,373,264
LYPLA2,2167,2684,2100,1865,2238,1436
CDCA5,2102,2505,2011,3462,4051,2762
AHNAK2,4574,5203,4869,6626,7540,5157
PARK7,2244,2694,2228,2871,3750,2463
RPLP0P2,4,3,4,7,7,3
COPE,3200,4087,3191,3271,3997,2408
SAAL1,553,597,473,788,1050,714
IZUMO4,34,41,31,19,25,15
SCAMP4,2007,2468,2113,1752,2261,1496
ADAT3,84,130,84,117,127,78
GPR182,5,1,3,1,6,4
CHST14,495,577,478,653,849,554
ECD,845,928,825,1149,1377,1023
CHRM4,17,25,13,21,22,17
MGAT4A,222,244,240,152,206,148
GOLM2,2524,2792,2436,2198,2820,2064
GPN1,1123,1364,1057,1338,1625,1128
TIMM23B-AGAP6,288,309,327,342,404,284
MIR12114,5,3,2,6,6,2
MIR9718,42,60,49,84,98,66
MIR9898,759,946,708,965,1221,725
MIR10392,58,86,74,83,121,61
MIR10394,2320,2951,2239,2775,3365,2004
MIR10393,2128,2347,2031,2018,2668,1926
MIR10397,110,121,108,136,177,121
MIR10399,16,19,16,23,22,15
MIR10525,3,2,3,1,2,3
MIR10527,12,19,14,13,12,17
MIR12119,21,34,25,31,35,22
MIR12122,4,5,5,5,10,3
MIR12136,2346,2647,2259,2245,428,2254
MIR12127,57,54,47,67,91,50
TMC6,910,1202,944,1212,1536,935
MISP3,102,134,98,100,114,73
SLC46A1,323,368,354,379,458,315
C12orf57,662,879,645,845,1104,608
DDX42,3671,4010,3644,4372,5110,3617
LARP4,2517,2559,2436,3149,3613,2842
GLCCI1,622,675,623,345,428,318
TMEM106A,113,130,114,172,225,115
SLC52A3,64,87,77,91,119,65
FKBP9,2583,3021,2624,2890,3600,2347
STK38,5535,6020,5671,4513,5519,4038
CTRC,2,4,8,0,2,0
PHB2,2971,3569,2861,3811,4723,3151
ACOT7,2544,3192,2397,2669,3468,2030
PDAP1,3014,3707,2848,3149,3874,2676
TUSC2,947,1160,922,740,902,624
CBX3,4895,5685,4835,5597,6951,5327
EXOC3,1391,1715,1499,1374,1724,1162
GABARAP,4714,5672,4643,4269,5327,3712
U2AF2,5810,7207,5665,7096,8606,5470
OIP5,166,226,179,277,371,214
CHRNA1,2,3,2,2,2,4
EXOSC8,690,725,664,1054,1351,982
SFT2D1,328,390,314,341,456,294
SCRG1,8,3,6,2,8,3
TEX261,2259,2683,2216,2703,3300,2272
RNF13,815,919,828,697,872,607
MGLL,1173,1384,1207,1227,1523,904
TWF2,1702,2011,1517,2416,3222,1870
SMIM12,865,1051,835,1011,1282,834
GABARAPL2,1372,1572,1333,1139,1421,1002
AZIN2,272,329,283,277,335,229
TMEM54,702,852,685,866,1043,687
DERPC,1594,1849,1522,1762,2067,1417
TUBA3D,22,14,29,34,34,29
SYNPO,355,403,360,648,686,514
HELQ,212,265,238,245,303,226
DCXR-DT,1,4,2,2,4,3
CMTM1,100,104,122,96,104,68
CHRNA3,5,9,9,21,24,12
CYP2U1,294,316,280,332,401,343
ADPRHL1,275,335,269,302,337,193
MFSD3,475,653,520,430,519,319
SDSL,116,141,116,228,312,175
ZBED10P,100,105,78,70,106,62
PIK3IP1,87,110,107,57,64,56
CHRNA5,80,90,76,138,180,112
SLC35A4,2976,3652,3025,3226,3797,2536
DTX2,734,855,711,826,997,606
CHRNA7,5,4,8,17,18,14
BMS1P2-AGAP9,340,327,405,432,472,348
BMS1P4-AGAP5,251,283,285,289,358,236
CHRNB1,609,706,596,639,730,497
PARGP1-AGAP4,217,213,237,244,284,231
LNCRNA-ATB,144,122,171,114,123,107
CA5BP1-CA5B,124,145,133,146,191,134
TOE1,370,432,379,560,671,486
LINC00310,3,3,4,3,7,6
LINC00313,6,8,6,9,8,5
B3GALT5-AS1,1,1,2,3,3,6
MCM3AP-AS1,187,185,177,232,253,190
BUD23,924,994,894,1242,1586,1007
TRIM9,8,14,17,19,38,18
CHRNB2,1988,2253,1957,2155,2530,1850
ATF7-NPFF,233,234,230,209,286,191
TXNRD3,161,188,195,196,252,195
ARHGAP11A-SCG5,514,570,533,939,1167,826
SLC2A13,189,210,174,216,291,204
LOC114224,1,4,3,1,6,0
LACTB,382,419,367,481,590,394
EFHC1,368,399,363,346,493,308
ABCF2-H2BK1,593,691,597,841,1015,635
CHRNE,76,97,81,64,92,57
NLRP3,40,55,49,149,167,127
MAL2,1415,1546,1402,949,1116,897
SNORD15B,1,5,1,5,8,1
CHRNG,6,5,5,4,14,7
TIRAP,175,181,151,170,250,135
ERMAP,344,363,338,275,360,238
LRRC37B,118,136,129,161,190,143
CHUK,857,985,857,1513,1827,1331
CYGB,69,59,50,54,69,36
CARD16,10,16,16,38,53,31
PKD1L2,1,5,3,5,7,2
BTBD9,1528,1721,1570,1293,1661,1077
LMTK3,10,21,22,15,15,9
MBD6,922,1059,937,946,1110,802
GPRIN1,630,756,525,685,851,553
SLC25A25,503,592,458,767,876,556
STK11IP,852,1042,886,833,975,621
TUBGCP5,470,579,476,668,833,590
KLHL32,114,146,117,173,220,166
FMNL2,2964,3170,3093,2144,2488,1921
ELFN2,241,263,228,404,454,326
TMEM132B,2,7,2,5,4,2
PSMG3-AS1,50,100,72,62,76,50
SLITRK1,688,819,740,842,1015,759
ESCO1,1182,1232,1185,1228,1538,1167
CCDC85A,13,21,15,18,28,14
MYSM1,378,416,392,418,552,404
RNF157,2,2,4,5,5,3
GALNT13,177,225,197,281,365,238
GNRHR2,397,440,398,394,519,346
KLHL29,679,823,764,930,1197,759
ZNF71-SMIM17,22,21,19,19,28,16
CROCCP3,89,88,87,123,184,101
ZBED9,22,33,32,55,51,28
RHPN1,454,540,438,532,626,381
LENG8,4471,5068,5352,4137,5007,3462
PWWP2A,767,780,787,728,865,669
SMYD4,637,722,678,804,948,673
FHAD1,6,7,6,6,7,7
SLAMF6,3,5,3,1,4,4
LOC114841035,483,611,469,515,667,418
OSBPL1A,461,520,437,515,687,490
OSBPL5,346,436,399,431,536,285
OSBPL6,125,156,144,213,280,195
OSBPL7,359,409,393,327,371,295
OSBPL8,3684,3960,3693,4718,5494,4277
OSBPL9,2780,2981,2805,2736,3407,2491
OSBPL10,4795,5475,4606,4476,5594,3752
OSBPL11,476,491,454,649,754,576
C1QTNF2,11,10,12,12,18,15
C1QTNF3,85,68,91,83,110,60
C1QTNF5,5,5,3,8,6,2
C1QTNF6,437,460,429,309,346,278
FBXO32,1243,1399,1189,969,1246,915
TMEM123,5534,6109,5255,7677,9846,7213
EPB41L4A-AS1,137,161,132,267,361,275
SMIM19,193,251,184,183,240,183
GPRASP2,193,243,200,310,418,286
MRFAP1L1,1477,1673,1403,1502,1945,1399
TSGA13,16,24,20,25,30,21
PTPMT1,748,906,674,1047,1292,821
FLYWCH2,246,337,269,354,377,232
WDR31,120,144,112,84,102,76
VASN,376,464,364,219,256,158
ZNF618,785,893,822,941,1131,750
ADCY9,610,765,703,868,912,665
CGAS,355,401,351,972,1291,831
NT5C3B,832,970,775,916,1187,820
SLCO1B3-SLCO1B7,258,304,258,228,292,212
CCDC124,2420,3074,2354,2864,3691,2195
HAUS1,468,592,483,810,1082,751
TNFRSF14-AS1,40,40,40,35,43,35
SLC26A7,21,25,25,18,35,18
MARCHF3,265,319,256,267,326,224
ZNF554,74,91,101,93,136,67
CKB,2937,3842,3074,4387,5445,3399
ATG4A,360,386,316,384,480,321
KCTD12,1279,1475,1347,2005,2664,1760
OMA1,155,185,197,213,258,202
DUS4L-BCAP29,429,459,425,723,884,675
DDIT4L,5,3,4,1,2,1
LDLR-AS1,337,346,318,346,421,262
RAB42,45,49,46,54,65,47
SLC25A26,572,631,553,516,692,428
FBXO17,197,208,160,244,364,231
PCMTD1,559,582,574,391,511,443
CIRBP,3349,3846,3295,4062,5005,3487
LOC115308161,15,13,14,11,14,9
GPR146,18,26,19,22,42,29
LRRC42,1173,1372,1130,1656,1980,1322
GBP4,440,489,446,776,824,717
GBP5,2,3,6,6,8,5
LRRC56,46,41,40,38,43,27
CISH,17,17,19,24,31,14
MALSU1,665,766,635,794,1066,730
UHRF2,713,723,732,763,1016,676
TBCB,1367,1701,1376,2185,2835,1722
ZNF689,235,279,225,321,392,259
FCHO2,1338,1520,1434,1242,1636,1242
ZNF501,107,117,105,142,192,136
TENT5B,82,102,67,191,201,128
SLC5A11,6,11,9,8,7,3
TNFRSF13C,15,23,25,27,25,15
NOSTRIN,98,116,107,117,188,118
ARHGAP33,209,252,271,326,423,258
EVI5L,1973,2490,2144,2272,2712,1677
TRMT61A,504,642,482,689,843,473
RASGRP4,3,4,4,5,10,4
DIS3L,517,614,509,666,867,537
FANCD2OS,36,36,36,70,80,56
IQCD,126,122,114,112,128,105
DHRS1,591,724,623,564,667,465
WDFY2,964,1061,997,1010,1214,905
CKMT1B,5,9,3,5,4,4
CTHRC1,66,82,78,66,91,54
TSR3,679,841,681,793,963,583
ODAD3,200,257,238,282,357,215
ZNF653,326,484,333,341,463,278
RNF166,649,806,702,877,1020,641
CKMT2,24,31,46,51,93,48
RMI2,263,300,209,370,507,341
OSR2,36,37,29,43,46,19
LRRC58,1271,1360,1366,2045,2382,1842
LYSMD3,1045,1109,1059,1102,1311,1017
BATF2,12,18,13,32,38,27
DNTTIP1,1236,1450,1170,1642,2049,1308
ERCC8,367,372,338,380,477,329
FOXP4,5152,6244,5476,4555,5354,3532
ZNF526,644,709,631,626,792,508
KLHDC3,6194,7554,6068,5178,6519,4212
DNAAF10,381,421,373,486,600,421
NUS1,1150,1363,1119,1715,2104,1586
FAM210B,967,1175,978,834,991,760
CYYR1,2,1,4,2,5,1
TM4SF19,57,63,54,50,89,52
PABIR1,371,386,319,450,497,362
ZMYND19,659,805,663,663,800,453
COX20,1201,1371,1197,1448,1901,1387
ABHD15,463,568,497,468,621,388
TLCD1,391,473,352,420,496,336
GINM1,1611,1801,1581,1604,2139,1595
CKS1B,2467,2882,2376,3159,3990,2659
EXOC3-AS1,76,116,86,102,137,80
SLC26A8,12,19,17,14,22,14
LYPD1,234,278,240,227,298,189
CKS2,1711,1895,1661,2077,2747,1793
ZNF837,93,93,85,98,106,84
TM4SF18,4,4,6,6,10,9
GRIN3A,17,17,23,29,36,14
GRIN3B,65,77,69,64,59,38
TOP1MT,460,550,498,636,760,516
TSEN15,1361,1573,1315,1954,2402,1784
NIBAN1,1265,1402,1248,2236,2740,1992
MRPL53,562,678,564,628,782,452
MRPL54,358,448,338,382,483,323
N4BP2L2-IT2,60,56,64,33,79,53
RPL39L,343,409,341,493,582,377
HSPA12B,34,42,29,37,60,26
CNTROB,1987,2280,2090,2438,3095,2086
SNAP47,942,1239,985,1168,1421,856
LEAP2,3,2,8,3,7,4
SLC18B1,77,101,87,221,273,196
LRG1,2,7,5,13,12,11
MED12L,91,91,97,135,138,123
SNORD139,18,18,26,51,20,24
SNORD83A,6,4,5,8,5,9
SNORD83B,8,12,10,14,13,12
WDR17,153,168,142,293,325,226
ACAP3,1277,1567,1375,975,1206,708
ARAP2,542,551,574,719,861,655
ARAP1,1746,2062,1827,2270,2687,1760
AGAP2,186,232,202,222,291,175
AGAP1,1617,1841,1634,1934,2211,1495
AGAP3,1518,1926,1595,1503,1777,1115
TADA1,260,261,270,389,437,316
CATSPER1,174,192,223,263,364,225
THEM4,290,378,295,347,482,345
CATSPER2,24,30,41,43,56,37
SH2D1B,15,19,21,17,22,20
WFIKKN1,7,15,17,6,6,8
RAB3IP,319,339,343,568,674,500
SSX2IP,950,1090,925,1582,2036,1461
PLAAT5,3,1,3,7,10,4
FTSJ3,2749,3224,2617,3847,4500,3129
SLC16A10,42,44,45,27,26,25
AP2M1,8784,10630,8456,9604,12177,7831
AP1S1,1582,1933,1561,1737,2213,1373
AP2S1,2704,3426,2537,3986,5129,3064
PARD3B,389,462,400,433,493,379
RFFL,623,702,625,986,1266,845
AP3S1,1832,2148,1902,1821,2388,1685
ZNF354B,129,119,114,154,190,127
TRIM6,266,288,265,286,381,321
ADD1,7653,9047,7656,7267,9199,6105
CLCN2,182,235,194,274,285,181
CLCN3,4114,4588,4433,3735,4740,3501
CLCN4,1004,1200,1012,1343,1486,1105
CLCN5,116,146,120,131,149,118
UBE2J2,1025,1285,1063,1161,1366,864
BORCS5,472,517,484,470,627,410
OLFM3,7,5,5,7,3,4
ANTXR2,7382,7895,7444,5996,7626,5368
RPL23AP7,127,150,107,120,147,88
GPR62,1,2,1,3,5,4
EXOSC6,782,987,807,980,1352,852
ZNF511,601,785,582,775,916,578
CHCHD1,881,1085,838,964,1247,864
MSS51,55,63,57,70,84,54
CFAP70,63,64,71,45,48,34
CLCN6,916,1008,910,675,806,632
CLCN7,1793,2286,2026,1678,2039,1240
C10orf90,5,4,2,7,9,2
BTBD16,9,12,9,8,13,6
PSTK,113,157,121,146,190,121
ZNF488,447,557,493,679,672,501
PIK3AP1,13,15,10,17,15,17
MORN4,248,312,260,361,507,320
ZFYVE27,795,937,771,849,1034,702
MMP21,7,9,7,1,6,1
COMTD1,248,265,220,221,298,182
FRA10AC1,410,411,383,479,592,458
ANKRD22,13,13,10,20,34,19
SFXN2,240,239,227,405,552,302
PDZD8,5399,5881,5394,4438,5837,4011
ADD2,5,7,5,7,23,14
AGAP4,164,167,183,195,216,173
BORCS7,390,455,398,291,387,304
CLU,187,223,166,199,219,150
CLIC1,15622,18830,14664,22528,28726,18285
CLIC2,29,16,16,18,18,15
NUDT9P1,10,9,4,4,11,7
AGAP11,284,298,254,269,328,220
GSTO2,77,90,83,127,155,85
SFR1,543,586,551,544,729,548
CALHM3,108,108,86,122,151,99
CTAGE7P,21,23,23,16,21,13
CLK1,1882,1849,1779,1634,2119,1556
ANAPC16,1950,2243,1824,1600,2101,1490
SFXN4,385,464,385,579,658,482
CLK2,700,701,701,795,1087,725
CLK2P1,2,7,4,6,4,3
IFTAP,91,97,75,92,114,74
CLK3,860,1005,817,894,1138,786
SERPINA3,7,12,4,20,24,11
ADD3,1590,1701,1684,1712,2316,1609
TPP1,2623,3049,2825,2406,2888,2058
LARGE2,6,0,4,5,6,6
CLN3,602,686,583,519,634,381
SLC36A4,1086,1225,1117,1178,1479,1085
FAT3,443,477,435,591,723,535
TMEM45B,72,102,74,83,88,80
CYP2R1,520,567,552,502,655,456
CLN5,383,403,372,483,562,423
PIH1D2,218,215,226,370,486,362
DNAJC24,440,443,411,458,568,412
ARL14EP,470,500,471,505,650,457
CLNS1A,1139,1275,1104,1631,2176,1429
DEPDC4,54,62,49,66,89,72
LRRK2,84,90,78,114,155,80
CLPTM1,3982,4888,4068,3953,4693,3062
CCDC38,5,5,4,6,11,2
NOPCHAP1,271,348,309,413,636,391
CLTA,3942,4707,3851,4914,5779,4036
CLTB,2186,2779,2031,2871,3448,2129
LRIG3,188,237,196,217,254,179
TMEM132D,4,7,2,3,4,2
SLC15A4,594,696,604,630,757,480
RHEBL1,42,49,55,59,86,48
ZNF641,271,298,290,299,364,308
CLTC,23169,25940,23067,26178,30486,22068
NEDD1,1038,1136,1000,1476,1834,1333
SLC9A7P1,3,2,3,7,9,5
IKBIP,1216,1418,1222,1754,2298,1721
H4-16,5,8,10,6,2,4
ERP27,1,6,4,2,6,5
FGD4,44,32,35,40,54,48
AEBP2,580,626,573,718,911,662
ALKBH2,174,222,177,284,356,224
SPPL3,1964,2301,1947,1869,2384,1626
TEX29,5,2,3,6,3,2
METTL21EP,11,0,7,4,4,3
SLAIN1,403,387,323,397,491,318
PRR20A,6,8,7,12,17,9
ANKRD9,1292,1722,1373,1065,1266,798
AK7,1,3,6,2,2,2
IFI27L1,353,400,324,404,535,295
C14orf28,101,102,90,65,103,52
TRAPPC6B,2098,2234,2103,1625,2068,1545
CLBA1,253,260,226,223,255,198
PLD4,110,128,101,150,158,129
ADSS1,9,16,10,11,19,11
MRPL52,1055,1128,1018,1097,1440,899
LRR1,676,748,691,1195,1469,1051
KLHDC1,99,89,102,74,86,72
FRMD6,7143,7913,7030,7079,8512,6040
SOCS4,1962,2118,2025,2048,2428,1911
NAA30,984,1056,964,1252,1511,1039
NOXRED1,33,31,29,26,39,35
JDP2,65,84,70,107,170,101
ISCA2,384,468,367,550,705,482
ACOT4,64,70,53,99,156,103
PLIN2,2989,3403,2773,2723,3642,2446
CCR1,10,8,5,23,28,22
TTC8,796,888,771,590,676,500
TC2N,2,4,3,4,4,4
SLC25A29,1406,1609,1449,1484,1671,1186
LEO1,670,766,723,835,1029,714
CCR3,2,4,4,0,1,3
C15orf40,537,613,515,475,547,401
SENP8,89,85,84,87,103,95
MTFMT,108,125,120,170,226,143
TARS3,57,59,67,74,63,53
LRRC28,281,311,322,346,414,282
CCR5,18,25,28,10,5,8
TMEM266,0,4,1,6,5,4
CCR7,59,52,58,60,81,47
NIPA1,1081,1122,1041,1189,1501,1038
HYKK,15,18,14,38,30,31
WHAMM,393,481,415,490,654,454
FSD2,45,57,35,35,45,36
C16orf46,61,72,66,62,87,63
NTAN1,578,688,556,563,780,486
CEP20,351,386,302,1173,1466,1026
DNAAF1,118,120,119,118,128,104
DCUN1D3,367,447,361,421,527,338
CMTM3,531,625,530,508,657,346
CMKLR1,1113,1326,1144,1383,1636,1156
SPATA2L,179,221,204,238,277,160
SPATA33,182,233,200,270,325,213
NOXO1,66,59,48,36,37,17
CCDC78,95,112,115,105,104,82
LTB4R,716,786,758,939,1042,768
IQCK,198,247,212,169,212,175
ZG16B,75,80,80,83,103,59
PRSS30P,4,6,3,2,4,3
PAQR4,661,868,707,1008,1206,759
ZC3H18,1625,2000,1741,2136,2512,1615
CDYL2,1457,1632,1458,1588,1905,1386
ABCC2,52,51,72,36,57,33
ANKS3,287,357,336,307,330,255
UBALD1,406,443,389,421,499,285
KRBOX5,85,79,112,99,120,74
TMEM219,939,1076,992,1016,1258,827
EARS2,784,913,748,825,968,706
SNX20,5,11,9,8,9,3
TMEM170A,885,1022,888,921,1092,894
METTL23,601,696,629,688,876,550
MSI2,2069,2302,2229,1902,2424,1842
SLC38A10,1958,2250,2082,1773,2033,1334
CANT1,2270,2800,2332,2762,3381,2129
CYB5D1,212,193,236,214,280,186
OVCA2,382,469,356,400,451,310
USP43,107,92,106,110,143,95
KRBA2,138,168,157,153,209,145
SPATA32,21,24,17,16,32,22
HEXIM2,142,157,145,157,218,117
LSM12,1078,1267,1073,1544,1918,1342
CCDC43,520,607,503,708,887,648
CNTD1,296,315,276,340,412,340
RSKR,128,134,150,203,292,203
SEZ6,5,6,7,4,15,2
ANKRD13B,248,369,309,362,390,286
SLC43A2,285,284,297,234,318,225
CYB5D2,348,425,364,319,409,267
C17orf49,427,483,387,470,609,402
ZFP3,40,40,46,38,66,40
SPNS2,532,649,517,372,458,271
EFCAB13,59,50,79,66,128,58
MRPL10,1106,1323,1125,1060,1246,846
WDR81,621,791,679,583,717,412
RN7SK,20,27,28,20,96,30
TBC1D16,1382,1783,1548,1312,1480,957
AFMID,565,725,626,968,1122,724
GJD3,361,432,392,407,477,299
SNHG29,7038,8115,6548,6301,7932,5482
ZSWIM7,497,566,509,503,688,472
MIEF2,424,564,453,452,520,320
SLC5A10,117,162,124,135,180,91
FAM210A,517,567,502,896,1040,757
INO80C,570,686,574,614,788,512
TTC39C,674,759,646,570,745,477
CLDND2,20,30,24,15,27,20
ZNF816,112,86,91,131,201,112
CNGA1,49,45,40,46,64,64
ZNF543,219,226,207,243,322,192
RAVER1,2873,3653,3035,4131,4694,3002
COX6B2,5,9,7,5,14,6
MICOS13,507,646,494,614,763,464
ADH1C,7,7,5,3,8,6
TRAPPC5,914,1245,942,1163,1354,801
PCP2,16,14,17,16,26,9
OSCAR,21,24,22,13,27,22
ZNF813,165,180,134,213,259,204
ZNF441,113,115,133,213,278,184
ZNF491,67,63,61,76,96,71
ZNF440,473,554,485,651,740,563
SWSAP1,90,113,83,83,108,70
CCDC159,97,108,98,50,90,57
JOSD2,150,192,150,169,212,138
CPT1C,295,366,315,502,603,436
ALDH16A1,924,1151,999,1203,1464,905
NTN5,20,22,19,9,10,7
ZNF787,653,852,709,873,1097,622
ZNF573,76,69,60,92,134,82
WDR88,31,34,42,27,53,23
EID2B,91,95,96,116,157,108
TNFAIP8L1,391,465,412,577,771,468
ZNF57,72,85,77,89,109,77
IRGQ,996,1063,1015,1462,2065,1266
ZNF428,531,633,537,615,753,474
PLK3,512,609,511,481,645,399
MOB3A,1863,2145,1851,2157,2866,1867
MFSD12,1476,1920,1569,1585,1842,1084
NDUFA11,1082,1380,1066,1379,1627,951
MISP,197,214,191,306,361,197
WTIP,272,327,305,282,338,206
ZNF792,555,674,587,648,932,616
NR2C2AP,412,477,383,519,675,416
HSPB6,3,9,7,19,16,10
RINL,4,10,6,11,21,11
FBXO27,836,1082,821,837,1029,758
CNN2,3713,4626,3847,3868,4628,2959
C19orf47,580,706,576,781,1032,629
ANKLE1,104,98,120,41,50,47
CNN3,6523,7931,6618,8610,10770,7499
GABPB2,651,634,589,587,750,565
RPTN,7,4,3,6,5,4
CCDC163,62,70,68,88,130,91
CNP,3041,3550,2974,3727,4652,2915
CCSAP,483,532,504,592,782,509
PUSL1,285,365,293,335,408,257
B3GALT6,577,737,581,700,768,501
CNR1,25,19,23,19,20,19
DNAI3,7,1,5,6,10,4
KLHDC9,24,17,14,19,39,18
AXDND1,4,0,3,7,12,7
