Genes,WT_serum_Sc_2,R175_serum_A5,WT_doxo_Sc,WT_serum_A5_1,WT_doxo_A5,WT_serum_A5_2,WT_serum_Sc_1
GABRP,19,10,287,7,64,2,17
C10orf67,3,0,7,5,20,1,6
H2AZ1-DT,0,3,3,2,4,10,0
NPB,95,80,84,24,90,137,81
KANK3,130,110,168,39,149,241,81
SERINC5,4686,3486,7567,2412,6471,5226,4418
ALX3,111,97,159,24,133,147,104
GABRR2,5,9,30,15,19,8,7
TINCR,450,425,3111,250,3022,841,469
FRMD3,72,81,168,69,120,137,78
CATSPERE,10,17,43,2,10,22,15
CATSPERD,7,9,7,3,5,4,2
PLCXD2,10,13,53,7,53,53,12
GAD1,34,35,162,35,341,84,54
ARHGAP30,243,245,443,136,357,375,154
GCSAM,31,68,81,28,110,65,25
RNF214,739,728,822,565,693,1077,662
C9orf43,79,89,35,63,19,129,51
CFAP126,604,639,575,439,538,1044,554
NEGR1,0,0,9,0,7,2,1
GAD2,0,1,3,0,6,6,2
DSCR9,38,23,46,21,24,41,26
SHPRH,538,389,604,412,429,697,517
CCDC96,9,13,39,27,24,34,12
UTS2B,12,14,5,1,3,11,12
SNX33,1056,945,1544,478,1131,1326,957
MOCS2-DT,170,289,282,183,267,364,134
TAB3,1577,1784,2083,1562,2015,2168,1525
C2orf72,93,45,86,33,63,77,78
FAM133B,846,819,840,562,641,1218,730
KIAA1549L,19,4,36,16,57,16,8
SHC2,79,36,138,50,82,120,81
H2AP,0,0,11,0,11,2,0
HYPK,7,3,6,4,2,2,4
PRPF40B,271,204,380,144,374,342,188
SLC24A2,4,2,17,5,16,2,0
C22orf31,10,7,13,3,1,19,6
TBC1D22A,1087,1037,1678,672,1344,1935,1081
YWHAH-AS1,34,35,31,4,25,26,15
CBY1,294,226,291,187,181,373,252
SUN2,1978,1911,2115,751,1578,2793,2137
DSTYK,2786,2491,3519,1877,2738,4077,2508
RASGRP3,7,8,33,4,29,19,6
RAB3GAP2,1462,1733,1655,1348,1626,2217,1310
DGCR11,255,287,307,222,394,509,205
RAD54B,1179,795,528,798,243,1446,1179
TMEM59L,41,49,41,19,16,46,27
CFAP45,16,26,16,32,17,31,11
NGEF,71,64,58,30,57,134,116
CIZ1,5679,5802,4782,3668,3809,8173,5643
FBXO7,2847,3198,3250,2246,3067,5078,2782
FSCN2,966,724,1532,357,1201,1582,952
PGLS,1141,937,1087,536,1082,1876,1095
QPCT,12,16,13,13,11,25,13
BRI3,664,690,930,607,1329,1768,687
ZNF324,1057,729,983,481,806,1488,994
AMBN,0,0,8,0,4,0,0
GAK,4612,4229,6005,2522,5042,6881,4531
SLC39A6,60976,36562,25915,47240,16308,75670,57598
GCA,899,1200,1188,899,883,1911,871
SVIP,797,563,370,441,195,905,680
LMOD1,0,9,11,0,3,7,0
SPDEF,11369,11201,8604,3522,5177,16639,11139
LSM4,3589,3217,2385,1970,1875,5519,3535
BAMBI,3036,1223,5031,1296,2622,2579,2823
VAX2,320,277,362,210,311,475,319
RHBDD3,747,804,890,310,658,1388,803
TTLL1,264,222,228,175,158,375,232
GALC,824,932,1103,774,752,1349,763
POM121L1P,22,12,6,1,8,19,8
SAMM50,1354,1646,1468,1252,1346,2414,1348
ATXN10,3494,3397,3231,2627,2709,5319,3366
TNFAIP8,405,361,900,381,622,690,360
TAFA5,638,665,416,364,463,1069,634
KLK5,0,3,7,2,28,5,1
NOCT,671,735,998,641,1170,1118,601
GALE,321,319,520,201,479,689,292
ARIH1,3403,3305,4376,2794,4165,5073,3202
MTO1,781,865,889,546,517,1154,778
DNAJB5,97,176,162,72,134,171,106
TPSG1,104,115,213,41,188,206,82
PRDX5,1416,1724,1714,1018,1440,2799,1474
BACE2,1718,1255,1253,1128,953,2528,1485
SNORD82,14,14,15,2,11,14,9
FBXL2,153,106,297,124,264,298,128
TXN2,1901,1901,1869,1387,1732,3561,1642
TMEM184B,2478,2192,3883,1432,3627,4475,2302
B4GALNT1,724,498,335,305,295,950,694
SULT4A1,0,1,4,4,4,2,0
HECTD1,11831,12855,12446,10448,11778,19784,11216
NBPF14,988,807,1111,502,947,1389,774
POU2F3,44,40,214,28,131,77,49
MGAT4C,0,0,14,0,6,2,2
NIPBL,4581,4625,5502,3869,5298,6262,4257
RAB26,1467,1319,1645,524,1001,1947,1396
COG4,2466,2008,2512,1441,2017,3504,2327
GALK1,895,765,1021,483,1030,1522,813
METTL7A,310,321,112,126,81,273,334
ABTB2,1611,1288,4175,857,3447,2670,1712
ASF1A,1657,2263,1733,1634,1505,2646,1557
MOB4,9,4,10,7,6,9,14
YIPF3,3522,3389,4263,2197,3959,5011,3340
ANAPC13,1601,1741,1369,1469,1341,2604,1536
PARM1,176,156,730,102,663,229,174
GALK2,1098,1523,1046,851,762,1650,1043
ZNF345,6,4,14,5,5,3,13
TECPR1,557,547,1079,251,875,902,580
ARMC8,1918,1637,1976,1678,1852,2763,2030
DCAF12,3140,3281,2924,2435,2504,5067,3254
FAM149A,30,36,22,10,31,71,34
BRMS1,1096,1116,1153,547,1166,1965,954
CATSPERZ,9,10,17,9,12,23,8
PART1,25,29,24,20,8,58,17
WHRN,1859,2028,6287,803,4927,3005,1966
USP49,1029,897,726,672,564,1319,956
ABHD14A,100,60,48,56,61,138,68
PRKD2,1670,1642,3087,1013,2600,2835,1635
SUMF2,3614,3526,3098,1964,2638,5572,3694
NEPRO,2378,2677,2227,2291,2149,4065,2305
RPL36,4787,4248,4849,3139,4284,8578,4637
MPC2,1264,1193,1318,992,937,2074,1259
LETMD1,2265,2493,2758,1795,2325,3947,2027
SPEF1,11,11,11,2,5,18,6
MXRA5,0,0,17,7,11,5,0
DCAF13,3550,4004,2944,3034,2810,5465,3299
GALNS,1698,1977,2483,934,2423,3132,1848
TMEM186,521,450,392,280,342,742,484
CHRDL2,3,1,10,4,0,6,2
POLR1A,4948,4840,4654,3047,4266,7372,4882
POC1A,655,535,343,313,161,849,659
ZNF473,1100,1149,875,838,727,1439,1047
GALNT1,2207,1951,2138,1550,1714,2651,2051
ABI3BP,16,27,38,45,39,61,19
PAMR1,1,3,11,1,6,6,4
PLEKHG4,793,653,747,256,606,1150,853
EEF1AKMT3,878,999,556,616,409,1232,904
INTS7,1573,1327,1044,1273,648,2163,1514
RNF19A,1830,1702,3112,1452,2707,2584,1733
RCHY1,1044,1128,1005,833,670,1519,1029
AMBP,25,20,22,19,14,45,23
GALNT2,1760,1951,1927,1162,2068,2984,1835
IFFO1,2,4,3,4,37,11,2
CCDC28A,195,287,267,240,218,324,248
MTHFD1L,1673,2067,1165,1323,1472,2689,1623
OLFML2B,9,6,19,1,17,9,6
CNOT10,1775,1751,1778,1455,1372,2405,1827
ANAPC15,249,287,228,113,169,323,260
TMEM158,26,15,54,17,61,23,13
AHCTF1,4054,3195,3596,3201,2907,5637,3641
GALNT3,2560,3436,1934,2709,2536,4467,2455
DPCD,346,322,276,233,251,445,311
C1orf43,10382,7961,8040,5308,5365,11849,10102
POT1,575,528,529,427,402,603,565
RTTN,738,626,364,443,169,838,686
NDUFAF3,720,754,1052,400,838,1392,684
THUMPD3,2692,2510,2404,2082,1872,3461,2539
ALS2CL,653,458,1175,228,951,814,686
GALT,193,131,289,105,176,248,249
NELFB,2976,2680,2347,1446,2019,4680,2887
ZDHHC5,4182,4039,4269,2468,4179,6226,3869
HSPA12A,258,312,324,168,277,367,287
ATL3,12482,11179,9255,8680,7941,17385,11589
SGMS1,1230,1171,1720,895,1584,1690,1081
TMIE,11,11,3,2,1,14,15
MYRIP,335,328,161,370,154,556,358
ZNF521,0,2,1,0,33,2,0
NOL11,6324,5653,4875,5305,4244,8391,5924
ASPM,8907,8585,4626,5398,1136,9009,7638
SOSTDC1,0,3,2,0,4,3,0
BOD1L1,941,1096,1577,998,1357,1621,912
MDS2,0,0,4,2,1,1,3
TAS2R43,0,1,12,7,1,3,1
GEMIN5,5718,6009,3822,4562,3455,8713,5722
GAMT,1193,741,1122,526,809,1827,1229
PTPN23,2445,2247,2579,1186,2510,3371,2203
IL4I1,28,31,15,21,33,51,31
FAM205A,2,3,27,2,15,16,3
CLIC4,6661,7233,6412,4862,6007,8744,6034
NIPSNAP3A,1034,1071,764,575,572,1370,975
NSL1,757,645,663,477,402,795,747
WWTR1,1508,1263,1157,822,874,1581,1405
HEATR5A,2868,3634,4482,2522,3683,5004,2694
SAMHD1,470,357,251,351,207,666,461
FAM98A,1501,1797,1619,1508,1631,2800,1474
TPGS2,3066,2559,2414,2070,1821,3691,2674
SIN3A,7253,6739,5485,5727,4763,8687,6711
DNAAF9,362,456,756,326,643,845,322
NECTIN3,3,1,2,0,8,0,4
ZNF385A,567,769,1735,539,1807,1900,546
KBTBD2,3067,2733,3048,2332,2658,4190,2773
SYF2,295,218,401,176,394,412,265
GANC,173,182,193,116,143,175,180
RWDD3,71,101,71,42,77,132,53
PNKD,839,1104,950,457,952,1428,934
SEC31B,201,187,339,105,209,268,193
PNISR,2090,2065,2777,1438,2241,2614,1761
KANK2,2743,1412,3112,1304,2305,3427,2487
ADGRA2,76,108,128,43,94,118,73
NUDT13,232,255,225,181,199,349,181
VIRMA,4997,5990,6165,4724,5368,7874,5200
TMEM87A,1961,2523,1990,1550,1870,3248,1723
C2CD2,6,9,9,3,7,12,8
GAPDH,85311,92580,60531,58061,59233,137371,83712
SH2B1,3090,2585,3556,1263,2728,4355,2941
UNC50,665,841,612,560,607,1130,614
PARS2,370,331,400,258,334,671,356
MMACHC,728,736,490,434,383,994,553
TIPARP,2024,2078,2414,1611,1918,3053,1745
NECAP1,1134,821,1030,715,736,1429,1056
CHMP2B,2203,2727,2563,2263,2602,3938,2108
DHRS7B,536,500,564,348,458,830,539
AAR2,1526,1550,1450,860,1308,2211,1524
DNAH1,385,306,549,195,457,484,383
NGDN,629,605,680,524,592,1046,587
TSKU,17819,25429,14072,8044,10813,26002,17593
HINFP,779,757,905,528,804,1110,805
ULK3,2862,2719,2979,1173,2566,4488,2892
SNED1,102,81,205,36,206,198,76
HIGD1A,1415,1594,1495,1124,1372,2376,1356
REXO2,291,391,444,287,408,575,307
IBTK,4399,3160,3416,2097,2104,4018,3937
CLIP3,189,163,291,61,158,304,159
AOC1,0,2,1,6,0,4,1
TBC1D10B,4830,3952,4166,2429,3513,7284,4933
RNF167,1575,1248,2092,708,1456,2105,1448
GORASP2,5095,6232,4436,4297,4041,7303,5019
C2CD3,2197,2039,2030,1655,1636,3083,1979
TKFC,2990,3446,2573,1452,2146,4902,2795
ZZZ3,3406,2554,2889,2260,2192,3796,3020
SPATS2L,300,325,657,275,990,465,173
TENM4,147,144,81,49,127,148,101
NSMF,3511,3118,4547,1857,4274,5452,3407
L3MBTL1,236,172,304,86,189,289,189
RPAP1,1069,1052,1253,585,949,1651,1116
FAM32A,1630,1658,1910,1171,1737,2829,1581
LRIG1,7316,7501,3800,3961,3087,9306,6929
UPF2,1893,1725,1854,1619,1871,2810,1596
LRP10,9917,8505,14634,5017,13017,17287,9890
PTCD1,6,19,17,3,12,41,18
PCDHGA12,21,28,76,13,43,60,8
ACOT11,3,10,27,1,10,5,8
CYP4X1,2,2,7,0,2,3,1
NSUN5P2,85,59,69,17,50,87,47
PLEKHG3,2205,1460,1709,945,1491,2930,2081
OSBPL3,0,0,6,0,8,0,0
SUSD5,72,72,60,27,56,73,66
ATRNL1,139,80,172,149,253,217,106
IPCEF1,0,5,10,4,4,1,0
TFAMP1,6,5,21,0,12,3,5
GLCE,2120,1932,1671,2052,1636,3147,2088
ZNF451,6387,4899,7031,4571,4956,8206,6002
SIPA1L1,5824,5601,6966,4387,5944,8172,5588
CHD5,515,311,1005,198,1106,600,359
SS18L1,3389,2581,4196,2294,3442,5521,3313
SETBP1,44,11,65,37,54,53,46
MAGI3,4174,3405,5572,2871,4237,6084,3958
UBXN7,3834,3456,5034,2904,4064,5054,3286
LRRTM2,160,97,359,87,280,295,95
LTN1,2433,2480,2241,2180,2039,3698,2191
ZNF500,1022,830,1398,521,1064,1623,1101
FAM169A,535,713,525,533,564,940,520
SLITRK5,33,23,19,13,26,38,28
PPP1R16B,0,0,10,0,3,0,0
DNM3,448,502,956,371,858,718,507
AUTS2,1286,878,1393,820,1212,1905,1171
SENP6,3808,3959,4070,3374,3663,5812,3380
RAB11FIP5,216,194,297,114,185,413,255
ANKRD17,10084,9834,11050,9220,9795,14210,9255
GIGYF2,2929,2591,3501,2263,3095,4564,2660
ERC2,63,27,78,33,49,61,46
APPL1,3064,2444,2458,1960,1662,3291,3146
HACL1,668,820,915,627,658,1046,592
RAI14,1030,1231,872,1127,1207,1899,941
LSM14A,863,24,168,27,193,50,42
RTL8A,2442,2664,3003,1609,3255,4889,2424
POLDIP2,4342,5027,3935,3013,4061,7706,4232
CFAP61,4,4,5,1,7,11,10
GNAO1-AS1,3,0,0,0,12,0,0
FAM230C,1,1,2,3,4,1,0
ARHGEF26,22,8,115,148,10,31,20
GPSM1,769,696,1082,355,1156,1308,818
GGA1,1825,1628,1642,798,1409,2594,1790
ABHD12,2460,2516,1761,1716,1469,3833,2555
HERC4,1937,2044,3507,1799,3981,3730,1720
TOR1AIP1,3526,3740,3338,2753,2892,4945,3127
CCDC9,371,384,424,159,436,675,371
DCAF4,2207,2088,2805,1889,2865,3982,2250
PTPN20,0,0,7,0,5,0,0
CHTOP,3176,3058,3303,2016,2758,4570,2998
EDRF1,1978,1665,2237,1554,1662,3038,1938
SZRD1,5216,4995,4285,3053,4295,8642,5136
WIPI2,2823,2877,3852,1917,3146,4317,2512
DKFZP434A062,1,3,10,0,2,1,0
PYGO1,354,247,120,211,73,376,302
CCDC69,54,35,138,50,132,72,36
TANC2,10326,9720,24708,9333,22784,16878,10209
WSB1,1898,1957,6025,1392,4316,2634,1703
LDLRAP1,986,829,1175,582,1042,1480,1047
PRPF31,55,25,30,4,17,51,31
EPC2,1740,2261,2151,1779,1966,2703,1741
TCTN3,1836,1627,1942,1003,1445,2139,1770
FGFR1OP2,1144,1193,1297,1056,1192,2023,1143
KIFBP,1152,1052,1359,959,1161,1750,1126
GAPVD1,6698,5968,6237,5794,5877,10572,6099
TRPC4AP,2828,2948,3177,1822,2849,4556,2658
RALGAPA1P1,253,216,228,185,352,311,249
SERBP1,9922,9258,7571,7287,5763,13195,9241
TES,1350,1869,1758,1122,2076,1781,1224
ZBTB20,12,2,61,11,545,4,20
TTLL3,118,82,220,46,121,190,116
IRF2BP1,2502,2195,1878,1054,1542,3917,2725
TRAF3IP1,268,283,360,246,269,475,215
PHF19,1864,1431,596,788,266,2149,1721
ZNF658,87,87,98,83,104,139,97
LRRC32,6,3,2,4,2,3,5
RIBC2,92,64,44,62,25,120,94
NAT9,1275,1236,3016,956,2366,2645,1188
ZNF337,922,862,1930,787,1598,1608,809
KIF26A,4258,2935,1838,1140,1315,5494,4148
ABCA12,5380,4883,14524,6128,8324,10615,4915
NOC2L,3729,4315,3111,2318,3381,6061,3547
RSL1D1,9371,10256,6789,7706,6603,14798,9140
GIMAP2,0,0,2,2,1,3,4
IFT172,611,658,550,379,332,893,646
MTG2,1838,1982,2521,981,1893,2899,1954
RGS22,24,28,83,5,35,28,26
PCDHB5,18,11,24,14,8,26,5
SENP3,301,240,245,124,201,415,292
GARS1,5396,7419,3083,4052,3042,8120,5353
TIPRL,1619,1793,1427,1543,1316,2712,1570
INTS1,9912,10646,11214,5052,10396,16222,10041
NPHP4,1455,1094,1043,676,864,1888,1370
TMEM251,5,6,1,1,3,5,2
GART,3005,2756,1691,1952,1335,3920,2742
GAS1,15,10,2,13,1,16,18
FBXW2,6091,6284,6373,4915,6087,9901,5639
PTPN22,398,419,776,364,549,772,335
AMD1,8705,8534,4151,7556,3957,12859,8060
GAS2,4,13,7,19,6,22,9
GMEB2,1892,1808,1788,976,1619,2859,1858
SPAG8,10,10,32,9,8,8,8
PITPNC1,2394,2488,2345,1745,1890,3297,2042
GAS6,362,281,591,265,656,820,285
OR2B6,0,4,10,1,3,5,5
OR1J4,2,0,4,0,4,0,3
GAS8,1241,1203,1933,606,1575,1839,1154
DGCR5,110,90,125,53,109,170,115
FBXL3,1740,1385,2316,1184,1592,2096,1520
ARL5A,3289,3210,2389,2550,1935,4495,2957
FBXW4P1,43,65,99,36,101,103,41
PHGDH,6374,6488,434,2572,235,7078,5942
STAP1,0,0,5,0,0,6,2
B3GAT3,1424,1329,1510,539,1404,2718,1522
GATA1,2,3,8,2,3,13,6
TIAM2,46,38,117,40,101,84,52
LRRC29,63,62,87,15,75,74,53
FBXO2,4,3,6,4,0,10,14
FBXL6,890,775,721,254,778,1211,950
FBXL5,1179,1298,1423,1105,1390,2188,1005
FBXL4,1495,1322,1403,1058,1160,2228,1304
LINC01558,3,0,3,0,5,6,2
GATA2,227,120,886,89,688,238,230
FAM50B,545,516,610,390,693,1020,563
KLHL3,2,7,46,8,8,4,5
GATA3,30672,25702,54597,23726,55012,58955,30249
KCNG2,91,112,102,32,96,243,96
PTTG3P,2,4,12,9,3,8,0
CABYR,55,55,264,79,179,160,63
NKX2-8,11,27,53,6,97,58,21
BLOC1S6,2135,1690,1521,1125,1053,2194,1842
FBXW8,2614,3060,2446,2015,2142,3830,2641
GATA4,163,543,184,108,153,295,142
FBXO25,502,576,542,442,531,786,521
FBXO24,29,33,38,20,33,65,34
TSPAN17,2236,2339,2810,1270,3154,4162,2206
FBXO22,1220,1106,1932,1051,1620,1863,1160
SLC13A4,58,25,90,40,57,78,46
FBXO10,593,468,642,318,459,827,573
FBXO9,2370,2793,1841,1666,1557,3035,2195
FBXO8,445,427,494,239,421,644,395
GATA6,215,108,458,139,455,324,178
FBXO6,124,145,119,77,133,200,122
FBXO5,2031,1546,773,1271,221,2382,1781
FBXO4,367,442,201,247,141,588,345
FBXO3,1051,924,1363,868,1226,1554,1057
HIBCH,565,567,510,466,512,787,426
VPS33B,564,620,711,363,737,1050,537
TINF2,2039,1805,3148,1219,2375,2942,2031
SACS,2886,2713,1626,2328,1212,3974,2591
GATM,8,14,9,12,5,20,8
IL1RAPL2,4,2,28,10,3,13,3
ERAL1,1483,1600,1547,1013,1258,2255,1450
ARFGAP3,1086,1551,1851,950,1595,1742,971
ANKRD2,0,0,10,3,4,4,2
AK5,28,9,24,13,14,45,14
GBA,6,52,0,6,55,115,5
MYCBP,0,1,4,2,2,1,1
SERGEF,382,422,444,265,316,664,381
EHF,2210,1806,3753,1120,2313,2134,2223
GBAP1,69,33,47,18,29,58,44
NIPSNAP2,1025,988,667,919,496,1538,958
GBE1,1267,939,1258,706,815,1456,1224
GBP1,3,1,14,3,1,0,1
GAPDHS,421,436,379,172,322,627,344
GBP2,6,10,65,9,39,12,3
GBP3,5,2,16,0,2,5,1
HSPB8,11761,15538,31165,8549,34933,21597,10458
GNL3,2114,2656,1654,1806,1492,3133,1995
FAM162A,449,660,555,488,529,990,536
GBX1,17,16,17,8,22,20,19
GBX2,22,29,33,26,49,47,45
GC,0,4,2,19,4,10,2
GCDH,669,606,572,321,392,1074,550
GCH1,1255,1121,1114,1022,1123,1872,1100
GCHFR,240,147,137,88,87,331,283
GCK,0,5,3,0,7,0,0
GCKR,2,0,0,4,8,0,0
LHX6,97,120,43,75,34,131,96
PTPN18,3159,2376,2066,1481,1303,3557,3057
BLOC1S1,427,345,382,134,299,525,436
SEZ6L2,4102,3502,4843,1605,3906,6830,3827
NUPR1,432,268,79,122,51,459,392
PPP1R14B,2456,2872,1864,1098,2107,4720,2385
KAT2A,2835,2747,1973,1334,1531,4395,2999
NR6A1,612,242,449,490,456,1098,623
OR8G2P,10,14,19,13,19,18,9
OR8B8,9,3,25,20,14,12,5
OR8G1,5,5,19,3,12,7,8
PLEK2,232,290,168,186,143,364,162
GCNT1,423,349,222,248,213,480,390
NARF,1381,1141,1292,905,1094,1908,1305
SLC17A5,457,554,537,393,744,979,438
CNNM4,4194,3296,3895,2236,2739,5373,4248
CNNM3,5377,4468,5586,3165,3495,7318,5352
CNNM1,312,426,385,337,413,744,330
HEYL,76,89,106,42,74,80,61
MYOF,9184,8580,15636,6260,13129,11704,8449
GCNT2,7,9,1,9,2,21,5
CHIC2,247,344,386,272,372,482,281
INTS6,1493,1422,1789,1348,1866,2916,1402
TIMM10B,1991,2084,1900,1706,1858,2951,1825
TIMM13,559,471,554,369,472,1039,502
TIMM10,479,507,302,280,314,688,372
TIMM9,999,1205,811,1046,672,1712,1102
TIMM8B,342,533,450,394,488,787,340
AGO1,2750,2809,3279,2051,2601,4449,2771
LATS2,1493,1241,2698,1062,2062,2157,1544
TSPAN16,21,27,59,15,40,31,7
DAZAP1,4791,4962,3925,2756,3658,7615,4929
GCSH,1688,2106,988,1364,1012,2332,1427
OR10H1,0,5,14,2,2,3,2
ITGB1BP2,28,9,24,5,24,25,23
RGS17,154,100,122,106,103,259,161
SRPK3,47,38,137,42,79,65,60
PCOLCE2,40,61,9,29,12,96,45
OSTF1,844,990,1127,620,985,1409,776
MYEOV,88,102,993,31,1238,117,82
BSCL2,16,29,52,21,39,71,37
CKAP2,3300,2945,3164,2459,2020,4018,2984
MRPL46,339,339,330,277,256,527,266
OR8B2,8,1,22,4,15,16,15
TBL2,2290,2444,1424,1369,1358,3225,2289
GDF9,35,53,33,40,19,75,25
ELP4,967,1134,980,943,752,1516,1029
OR7E47P,11,15,19,9,9,15,19
GDI1,4117,3553,5452,3450,5732,7456,3854
GDI2,12187,14341,9885,11255,10300,19555,11466
OFCC1,39,33,70,27,44,69,21
BRD3OS,729,834,994,722,984,1421,754
BEST4,6,13,19,1,9,9,4
HS6ST3,1174,808,1567,924,1299,1973,997
MDGA1,30,10,52,17,22,40,37
RGL4,336,241,566,182,421,547,312
GDNF,2,5,4,0,2,3,2
NAP1L5,14,24,48,26,46,21,9
GEM,54,55,211,46,141,88,82
PIPSL,100,71,97,104,68,146,96
AMFR,6497,7013,5405,4151,4240,9119,6026
GFAP,11,15,22,2,28,25,10
PGBD2,277,270,421,245,346,396,270
RNU12,78,121,72,63,48,202,113
ATP5MGL,8,2,17,7,6,8,9
GFER,1028,811,946,499,842,1628,1195
GFI1,199,150,48,89,28,234,176
GFPT1,5988,6053,3141,3842,2375,6626,5248
GFRA1,78272,69975,53097,58917,44215,111707,74805
OR1J2,17,9,31,7,25,29,18
NUFIP1,841,758,698,663,652,1070,764
GFRA2,74,44,420,62,387,163,102
RPS6KC1,515,578,600,412,643,942,488
SH3YL1,1293,1247,1354,1169,1321,2335,1135
GFRA3,1,4,3,0,1,3,2
SNORD12C,100,71,89,30,76,199,115
RNU105B,4,3,1,1,5,2,0
SNORA73B,2273,2640,6372,3924,3486,4283,2601
SNORD81,35,46,53,23,37,33,48
GGCX,1836,2160,2508,1498,2319,3328,1810
SNORD79,28,51,72,29,37,82,44
SNORD102,98,123,90,101,82,155,101
SNORD4B,46,24,29,21,24,31,25
SNORD4A,91,64,66,9,45,96,79
SNORD80,221,234,276,117,208,277,240
SNORA72,117,103,69,54,54,150,87
SNORA71B,26,45,30,11,28,28,16
SNORA71A,81,111,104,53,51,124,91
SNORA70,313,317,386,179,353,456,333
SNORA69,21,26,17,6,23,22,12
GGT1,99,92,221,26,77,97,96
SNORA68,89,120,108,43,55,86,57
SNORA67,72,128,105,77,95,155,93
SNORA66,20,18,30,3,5,29,12
SNORA65,56,59,69,44,59,81,73
SNORA64,144,198,176,88,119,217,202
SNORD63,19,31,9,20,16,18,20
SNORD62A,5,3,22,0,11,20,3
SNORD60,57,77,54,47,41,84,52
SNORD59A,13,11,13,9,1,16,15
GGT3P,8,2,5,0,0,0,1
SNORD58A,21,33,25,23,21,22,23
SNORD57,9,21,17,3,11,12,17
SNORD56,31,30,23,3,9,36,21
SNORD54,5,4,3,4,5,2,0
SNORD53,8,12,6,11,11,16,0
SNORD51,22,13,14,5,9,12,16
SNORD50A,15,27,10,4,2,19,15
AMH,508,366,357,79,209,549,523
SNORD49A,84,59,77,38,78,83,72
SNORD47,168,175,244,133,176,207,176
SNORD45B,16,14,44,23,16,29,30
SNORD45A,44,72,69,27,43,52,47
SNORD44,146,202,251,120,208,225,142
SNORD43,42,54,67,21,35,72,43
SNORD42B,19,42,53,19,27,58,46
SNORD42A,14,28,20,0,14,11,8
GGTA1,3,3,13,3,6,5,0
SNORD41,2,0,10,3,0,6,2
SNORD55,26,54,37,15,34,37,60
SNORD37,26,47,47,18,49,51,22
SNORD36C,18,29,12,9,10,38,21
SNORD36B,14,10,19,4,22,15,2
SNORD36A,54,109,75,50,69,81,66
SNORD35A,74,93,93,36,55,91,87
SNORD34,28,29,39,20,19,29,37
SNORD33,27,56,70,44,40,48,26
SNORD32A,76,91,92,34,57,100,88
SNORD24,51,76,63,33,51,59,51
SNORA74A,49,69,68,74,59,115,40
SNORD14A,48,66,38,16,30,41,36
RNU11,80,122,57,92,90,137,87
RNU6-1,1,6,15,8,3,10,3
RNU5F-1,12,3,7,7,1,6,3
RNU5E-1,2,10,12,20,4,13,2
B4GALT1,10458,11833,20835,7838,26191,18277,9678
RNU5D-1,15,26,8,30,12,39,11
RNU5A-1,43,70,42,94,33,98,45
RNU5B-1,19,51,27,81,39,58,25
RNU4-2,522,791,1294,1146,1225,1806,708
SNORD3B-1,18,32,4,5,4,28,18
RNU2-2P,2159,3566,4099,5226,9938,6706,2904
GGT7,746,520,556,327,492,959,690
RNVU1-2,5,9,10,5,3,5,4
RNVU1-18,64,86,31,19,11,115,50
RNVU1-7,35,49,8,28,11,51,23
RNU1-27P,1,1,1,1,1,9,1
RNU1-28P,2,1,2,0,2,2,4
RNU1-3,1,3,1,3,0,0,3
GGT5,12,8,50,7,38,21,34
RNU1-2,1,11,7,3,4,5,5
RNU1-1,5,9,9,7,9,7,6
STEAP1,6,3,3,3,3,5,3
OPLAH,466,552,643,152,581,864,469
AMHR2,0,6,6,0,7,0,2
GHR,955,519,1249,1085,754,1605,905
GHSR,2,2,5,5,1,0,5
CBLIF,0,0,2,0,2,12,0
RANBP6,1136,1078,1208,745,1086,1579,1033
COPG2,1815,2098,1938,1691,1872,2988,1751
HBP1,2355,2385,4255,1643,3467,3066,2202
GIPR,21,31,73,13,92,25,15
NBEA,752,617,947,686,673,1144,630
GJA1,74,159,259,197,228,288,75
CHORDC1,751,627,876,752,799,1264,693
SEC22A,600,620,706,488,615,892,619
AP3M1,3344,3376,3421,3119,3224,4833,3184
PABPC1,149974,171190,133667,164654,144494,264907,145541
AKAP8L,2057,2274,3304,1168,2862,3428,1962
RNF11,2632,2961,3832,2427,3823,5172,2461
TRUB2,2069,1991,1998,1253,1652,2990,1810
GPR160,3081,2607,1641,2763,1456,4570,2793
CYFIP2,3217,3241,5909,3214,5651,6268,3226
ABL2,4651,4433,4980,3907,4604,7268,4688
AMPD1,22,32,66,9,35,53,35
GJA3,1,23,12,4,17,19,2
DNAJC2,1583,1682,1591,1161,1291,2203,1394
USP21,1771,1690,1443,938,1299,2785,1720
FGF22,43,45,21,16,21,63,31
GJA4,0,0,6,1,8,0,0
TPK1,146,134,176,162,122,337,121
KCNV1,5,3,10,1,3,8,13
CNPPD1,2951,2800,2634,1360,2203,4460,2833
BEX3,1729,1514,1925,1122,1134,2344,1793
DNAI1,75,37,9,16,6,48,58
NPTN,3539,2546,3481,2261,2720,3815,3415
FOXD3,39,30,54,23,49,62,31
GJA8,3,0,7,0,6,0,0
MLH3,1472,1408,1325,1250,1150,2189,1365
NPHP3,175,129,233,145,128,242,180
ATP2C1,3186,3513,2949,2984,3086,5262,3096
ZBTB32,129,75,299,51,176,210,100
ACAD8,649,617,786,405,613,1138,611
NOX1,18,14,25,18,10,47,21
TRMT2A,1175,1196,1306,451,1100,1949,1185
PKD2L2,29,27,95,25,64,74,31
LAT,90,55,184,33,135,142,90
UTP25,1216,1052,991,915,970,1433,1186
