Genes,control_1,control_2,Nutlin_1,Nutlin_2
PWWP2A,923,943,925,618
SMYD4,327,375,264,151
FHAD1,8,2,9,3
LOC114841035,234,224,343,180
OSBPL1A,377,383,501,347
OSBPL5,240,255,287,179
OSBPL6,511,527,303,175
OSBPL7,583,456,1294,612
OSBPL8,3591,3379,3290,2078
OSBPL9,3854,4455,5768,4256
OSBPL10,1345,1195,1715,993
OSBPL11,1003,1006,1080,739
C1QTNF2,7,7,0,0
C1QTNF3,50,43,80,50
C1QTNF6,327,251,1320,856
FBXO32,66,51,193,51
TMEM123,3406,3057,3284,1950
EPB41L4A-AS1,281,267,635,415
SMIM19,200,210,347,200
GPRASP2,84,97,118,82
MRFAP1L1,2142,2043,3102,1745
TSGA13,9,13,15,15
PTPMT1,2003,1791,1995,1185
FLYWCH2,1657,1420,1924,1088
WDR31,60,106,95,62
VASN,1149,930,1019,722
ZNF618,2008,2027,2076,1464
ADCY9,3190,3221,3373,2591
CGAS,419,337,185,91
NT5C3B,434,437,561,341
CCDC124,1726,1533,1607,939
HAUS1,533,542,267,233
TNFRSF14-AS1,3,1,7,7
SLC26A7,2,8,6,7
MARCHF3,74,80,88,40
ZNF554,47,63,92,80
CKB,796,683,1170,799
ATG4A,273,276,681,375
KCTD12,146,165,38,43
OMA1,355,336,565,337
DUS4L-BCAP29,575,533,515,335
DDIT4L,19,31,30,31
LDLR-AS1,53,47,57,41
SLC25A26,424,368,550,332
FBXO17,531,538,333,276
PCMTD1,300,339,649,451
CIRBP,2337,2065,3254,1897
LOC115308161,9,9,22,10
GPR146,12,15,12,3
LRRC42,909,956,736,509
GBP4,2,3,3,4
LRRC56,85,83,134,109
CISH,540,466,665,492
MALSU1,389,372,297,204
UHRF2,672,615,557,373
TBCB,1824,1547,1883,1162
ZNF689,580,588,532,348
FCHO2,743,718,1222,753
ARHGEF25,91,97,171,123
TENT5B,291,353,271,317
NOSTRIN,17,21,2,2
LINC01297,11,6,25,14
ARHGAP33,631,529,129,120
EVI5L,456,424,529,350
TRMT61A,1025,874,714,394
RASGRP4,3,6,9,4
C12orf56,106,121,169,116
DIS3L,1005,934,768,489
ARL11,23,14,63,28
FANCD2OS,71,77,17,11
IQCD,28,45,73,38
DHRS1,366,353,708,440
WDFY2,491,405,559,308
CKMT1B,2358,1953,3364,1903
CTHRC1,25,29,8,3
TSR3,1879,1532,1604,975
ODAD3,299,264,335,170
ZNF653,136,136,203,116
RNF166,946,872,699,557
CKMT2,65,60,68,59
RMI2,1329,1209,289,246
OSR2,219,288,337,295
LRRC58,4264,3774,3495,2270
LYSMD3,890,869,1225,749
BATF2,5,3,11,6
DNTTIP1,671,692,771,421
ERCC8,313,340,407,276
FOXP4,2102,1780,1759,1111
ZNF526,414,398,412,317
KLHDC3,1830,1715,1391,940
DNAAF10,362,400,436,289
NUS1,1618,1470,1531,1056
FAM210B,830,780,4237,1997
PABIR1,287,273,303,203
ZMYND19,1730,1490,1235,865
COX20,692,649,660,377
ABHD15,406,391,546,363
TLCD1,515,455,872,461
GINM1,1254,1158,1302,723
ACSM1,1,0,7,12
CKS1B,1367,1430,301,211
EXOC3-AS1,164,144,231,126
RBP7,29,41,68,76
LYPD1,77,106,120,121
CKS2,2417,2288,1158,743
ZNF837,57,84,138,82
LINC01257,19,11,18,10
TM4SF18,5,2,45,13
RAB39B,193,143,300,139
GRIN3A,4,4,1,3
GRIN3B,37,44,75,40
TOP1MT,1116,934,1316,767
TSEN15,1267,1253,1085,682
NIBAN1,14,11,14,7
MRPL53,859,751,1257,707
MRPL54,433,397,501,279
N4BP2L2-IT2,3,5,4,7
RPL39L,522,490,307,188
HSPA12B,42,19,16,19
CNTROB,702,687,523,341
SNAP47,705,640,855,561
LEAP2,13,6,5,7
SLC18B1,287,236,296,189
LRG1,30,17,27,19
MED12L,465,421,357,280
SNORD139,21,17,20,10
SNORD83A,11,30,17,12
SNORD83B,19,22,15,13
WDR17,20,29,21,19
ACAP3,1162,1102,1265,783
ARAP2,542,551,875,576
ARAP1,2645,2481,2312,1534
AGAP2,325,304,542,327
AGAP1,1535,1446,2410,1293
AGAP3,2610,2370,1993,1403
TADA1,631,583,544,376
THEM4,211,201,226,170
CATSPER2,12,14,29,23
WFIKKN1,16,16,28,12
RAB3IP,1121,1182,1252,704
SSX2IP,1448,1397,1057,692
FTSJ3,6985,6674,8121,5061
SLC16A10,67,80,31,15
CIB3,30,28,73,29
AP2M1,9362,9465,11773,7513
AP1S1,2534,2484,4400,2734
AP2S1,2617,2644,2825,1790
PARD3B,64,76,119,100
RFFL,313,315,363,243
AP3S1,1602,1569,2353,1355
ZNF354B,239,308,288,180
TRIM6,106,100,200,114
ADD1,4811,4494,6002,3848
CLCN2,325,288,258,155
CLCN3,1580,1684,2485,1492
CLCN4,459,393,518,288
CLCN5,570,566,586,430
UBE2J2,1015,851,1117,667
BORCS5,301,275,333,194
MUCL1,30,18,62,18
RPL29P2,31,24,43,24
RPL23AP7,137,136,283,148
GPR62,5,2,8,2
EXOSC6,1424,1420,1308,841
ZNF511,734,682,558,325
CHCHD1,971,875,1108,753
MSS51,18,14,14,9
CFAP70,10,9,6,16
CLCN6,233,201,263,210
CLCN7,1600,1300,2506,1510
PSTK,23,33,44,28
CLCNKA,5,3,12,4
ZNF488,47,62,661,482
PIK3AP1,61,58,114,66
MORN4,105,132,222,147
ZFYVE27,645,530,823,522
COMTD1,817,603,930,445
FRA10AC1,232,242,335,187
ANKRD22,18,9,54,23
SFXN2,585,617,536,444
PDZD8,1102,1155,1168,751
AGAP4,72,56,70,60
BORCS7,172,150,363,236
CLU,7934,7746,22387,13604
LYZL2,3,3,9,2
CLIC1,6960,6733,8569,5048
AGAP11,628,556,1655,1036
GSTO2,602,504,740,372
SFR1,188,173,68,36
CALHM3,2,8,18,16
CTAGE7P,33,22,22,14
CLK1,445,537,709,490
ANAPC16,1804,1600,2788,1705
SFXN4,818,651,623,343
CPXM2,3,1,9,4
CLK2,1017,1003,1070,750
CLK2P1,42,43,58,37
IFTAP,9,17,24,12
CLK3,1003,890,1173,786
SERPINA3,193,69,556,169
ADD3,128,145,46,42
TPP1,419,345,987,562
LARGE2,324,209,269,152
CLN3,1612,1551,2854,1647
SLC36A4,175,183,76,43
TMEM45B,130,141,438,293
CYP2R1,149,140,167,132
CLN5,249,213,278,180
COLCA2,4,10,4,6
PIH1D2,270,240,189,147
DNAJC24,199,193,262,160
ARL14EP,369,399,492,322
CLNS1A,3269,3171,3493,2182
DEPDC4,80,74,71,38
CLPTM1,4342,4120,4656,2918
FAM186A,1,7,4,3
NOPCHAP1,530,476,751,419
CLTA,2211,1861,3171,1749
CLTB,2798,2691,3333,2152
LRIG3,195,202,138,83
SLC15A4,551,534,650,439
RHEBL1,28,25,11,3
ZNF641,235,242,459,392
CLTC,68468,66633,79029,52956
NEDD1,1435,1380,870,667
SLC9A7P1,19,32,52,38
IKBIP,388,316,1346,713
H4-16,5,13,26,13
ERP27,14,14,36,53
FGD4,529,556,731,494
AEBP2,702,664,889,564
ASCL4,0,3,9,7
BTBD11,250,168,699,272
ALKBH2,607,496,514,275
SPPL3,1264,1221,1856,1136
CSNK1A1L,36,36,46,29
SLAIN1,9,6,8,5
ANKRD9,815,768,916,556
AK7,716,650,812,510
IFI27L1,133,138,94,47
C14orf28,95,86,213,130
TRAPPC6B,787,773,1311,804
CLBA1,261,245,398,274
PLD4,3,4,19,15
ADSS1,119,126,142,82
MRPL52,1138,1005,1277,703
LRR1,1105,1113,368,274
KLHDC1,3,10,14,7
FRMD6,865,877,1034,700
SOCS4,1543,1590,1929,1224
NAA30,1557,1526,1743,1239
NOXRED1,13,11,27,14
JDP2,824,745,590,410
ISCA2,543,569,604,361
ACOT4,265,257,360,223
PLIN2,425,445,264,148
CCR1,7,7,22,13
TTC8,728,684,1246,881
TC2N,2344,2364,2508,1560
SLC25A29,2206,2004,2828,1832
DEGS2,230,238,237,235
LEO1,4990,4632,5849,3167
C15orf40,444,443,545,367
SENP8,102,110,194,104
MTFMT,394,378,427,266
TARS3,532,464,636,341
LRRC28,318,337,524,332
CCR6,1,4,2,6
TMEM266,7,4,19,13
CCR7,16,17,132,62
NIPA1,1237,1256,1268,816
HYKK,217,193,450,275
WHAMM,385,442,716,427
FSD2,54,47,33,36
C16orf46,61,43,94,57
ACKR2,2,2,40,23
NTAN1,464,494,541,398
CEP20,1633,1497,1593,906
DNAAF1,257,216,345,215
DCUN1D3,248,232,509,322
NRN1L,4,11,12,4
CMTM3,27,12,35,17
SPATA2L,1345,1160,1392,869
SPATA33,509,472,255,212
NOXO1,142,145,91,76
CCDC78,1134,1014,1586,1160
LTB4R,523,450,765,554
IQCK,143,141,183,118
ZG16B,501,474,1239,596
PRSS30P,14,9,22,8
PAQR4,4062,3414,1757,1052
ZC3H18,3940,3635,2918,1778
CDYL2,3944,3656,5896,3485
ABCC2,56,59,154,104
ANKS3,445,420,432,333
UBALD1,1178,847,1355,782
KRBOX5,264,274,445,258
TMEM219,492,438,918,593
EARS2,1530,1461,1793,1252
TMEM170A,755,795,647,468
METTL23,308,285,472,269
MSI2,5862,4532,13636,6362
SLC38A10,2255,1895,2867,1820
CANT1,4082,3358,5433,2783
USH1G,10,15,10,5
CYB5D1,495,506,799,511
OVCA2,391,375,550,310
USP43,227,208,217,158
KRBA2,112,108,174,123
SPATA32,4,2,8,8
HEXIM2,96,86,90,71
LSM12,837,821,921,566
CCDC43,742,698,1196,714
CNTD1,151,141,257,143
B4GALNT2,43,34,92,21
RSKR,159,121,168,106
ANKRD13B,349,260,296,195
SLC43A2,582,464,2136,1082
CYB5D2,189,145,402,233
C17orf49,159,169,155,130
ZFP3,140,173,247,162
GGT6,114,148,796,428
SPNS2,96,83,524,221
EFCAB13,65,48,43,27
MRPL10,1758,1635,2491,1291
WDR81,266,240,822,479
RN7SK,19,26,58,167
TBC1D16,3803,2908,4041,2069
AFMID,614,617,364,207
GJD3,398,401,776,441
KRT40,2,1,33,12
SNHG29,4222,4011,6400,3683
ZSWIM7,161,214,269,186
MIEF2,210,180,339,251
SLC5A10,54,35,46,29
FAM210A,454,420,383,267
INO80C,230,215,283,183
TTC39C,216,252,272,182
CNGB1,2,2,5,4
CLDND2,47,35,19,13
ZNF816,479,450,753,415
ZNF543,169,185,253,188
RAVER1,2962,2624,1910,1204
COX6B2,5,3,12,4
ACER1,7,11,11,6
MICOS13,388,372,429,251
CNGA2,7,10,9,12
TRAPPC5,852,699,1004,722
PCP2,20,32,44,41
OSCAR,14,13,30,19
ZNF813,492,501,473,334
ZNF441,59,30,107,48
ZNF491,2,5,37,19
ZNF440,225,316,480,305
SWSAP1,155,139,240,139
CCDC159,87,67,227,133
JOSD2,546,480,835,610
CPT1C,14,19,23,20
ALDH16A1,588,542,530,328
NTN5,7,7,22,18
CNGA4,4,3,14,7
ZNF787,1892,1480,1231,675
ZNF573,32,32,47,42
WDR88,64,39,98,63
EID2B,57,84,142,82
TNFAIP8L1,230,259,40,22
ZNF57,133,133,162,102
IRGQ,888,939,1709,1175
ZNF428,233,202,363,209
PLK3,180,157,735,417
MOB3A,374,323,598,397
MFSD12,922,714,1143,654
NDUFA11,974,818,1211,779
MISP,2477,2133,3790,2352
WTIP,110,134,106,106
ZNF792,83,76,115,79
NR2C2AP,921,785,564,347
HSPB6,6,4,2,1
CYP4F22,231,229,521,324
RINL,30,25,86,52
FBXO27,1489,1115,785,401
CNN2,213,250,289,221
C19orf47,503,506,500,316
LINC00661,5,6,2,2
ANKLE1,3,8,2,5
C2CD4C,131,118,31,28
CNN3,199,210,343,218
GABPB2,475,461,474,334
TCHHL1,3,3,14,14
CCDC163,78,67,49,25
SHE,26,19,28,21
KDF1,326,316,425,291
CNP,831,707,892,466
CCSAP,569,542,245,171
PUSL1,432,365,304,201
B3GALT6,392,429,405,310
CNR1,3,2,7,11
DNAI3,7,2,179,82
KLHDC9,83,78,198,112
AXDND1,3,4,6,5
IFFO2,440,393,603,365
H3C14,17,15,20,11
SLC44A3,48,48,71,48
CNTF,16,14,12,9
ATXN7L2,236,216,212,140
CFAP276,2,4,12,4
LYPLAL1,472,454,607,342
CNTFR,40,40,35,18
TYW3,532,480,708,414
TPRG1L,732,693,1047,687
PRXL2B,987,898,633,416
DMBX1,41,43,6,1
ZNF684,61,73,25,9
TCEANC2,372,318,395,252
LRRC39,23,17,22,12
RNF19B,386,380,923,476
DCST2,20,24,51,36
DNAH14,152,148,116,64
ZNF648,5,8,2,4
C1orf122,968,793,1095,685
COL1A1,556,478,584,400
OSCP1,71,72,208,139
C1orf216,324,288,310,231
KLHDC7A,50,68,539,324
ARL8A,1172,1180,1704,1125
SYT2,9,5,6,3
LINC00628,6,13,15,14
GOLT1A,73,58,148,75
UHMK1,4902,4844,6765,4560
FCRLB,19,12,17,9
ADH5,2345,2351,3317,2111
COL2A1,17,13,55,32
C1orf131,418,373,441,238
LIX1L,22,13,26,18
COL3A1,19,26,69,29
SPATA17,108,110,200,125
EDARADD,228,201,250,161
COL4A1,2,2,5,3
TMEM125,309,274,779,504
TSACC,18,23,14,13
IQGAP3,2089,2038,141,142
NAXE,1742,1638,1882,1178
ARHGEF19,314,304,232,155
MRPL55,394,313,316,232
H2BU1,15,17,18,8
DRAM2,373,402,514,324
PIFO,1,5,45,31
C1orf162,52,34,39,14
TATDN3,111,134,180,99
COL4A2,5,7,7,9
SNHG11,133,127,109,72
FITM2,1165,1206,1868,1159
SPATA25,16,13,18,11
COL4A3,2,4,5,3
TSHZ2,5,5,13,18
COL4A4,7,15,7,7
TBC1D20,817,891,1066,765
COL4A5,301,283,727,495
SLX4IP,574,572,773,535
COL4A6,13,11,6,8
DUSP15,5,4,14,8
TSPY26P,6,10,9,4
C20orf144,5,2,5,4
CHMP4B,2103,1991,2810,1693
PIGU,621,675,616,411
COL5A1,958,830,1724,1357
C22orf39,405,410,454,290
TANGO2,597,552,886,479
COL5A2,34,54,93,46
ZNF280A,4,4,7,6
SGSM1,46,51,57,45
EMID1,91,91,81,56
COL6A1,127,174,295,211
ANKRD54,540,526,627,396
COL6A2,140,143,207,130
PPP1R21,449,483,687,476
COL6A3,1,0,7,4
TMEM150A,262,231,694,424
COL7A1,122,94,317,168
NUP35,776,761,448,262
TYW5,510,451,559,354
LYG1,9,4,12,11
MITD1,319,315,370,270
DIS3L2,352,286,461,295
CMPK2,25,19,6,5
MBOAT2,1208,1308,1032,700
TAF8,416,384,578,355
TMEM18,1226,1149,1175,739
COL9A2,43,45,27,24
FBLN7,68,65,62,31
RBM45,357,415,516,356
BBS5,264,219,274,205
CFAP210,4,6,2,1
COL9A3,133,95,286,120
ADH6,2,4,12,2
COL10A1,8,7,10,7
ICA1L,133,168,149,110
FAM168B,3109,2869,3165,1913
CIB4,2,0,7,4
RFTN2,16,12,20,16
CLHC1,32,30,39,22
COL11A2,56,49,184,91
PLEKHH2,137,188,143,174
COL12A1,7,13,19,10
AP1S3,411,365,494,277
C2orf76,153,190,294,176
SGPP2,38,36,34,19
ACVR1C,9,8,15,10
COL13A1,6,2,4,3
TTC32,100,74,98,55
UBR3,3158,3029,4040,2660
KCTD18,363,391,734,408
FLACC1,0,2,11,1
ZNF513,86,76,71,42
LYPD6,944,1004,1041,820
LYPD6B,398,397,307,284
GALM,527,465,708,409
TMEM198,173,178,285,150
ZFAND2B,541,509,379,260
COL16A1,28,24,76,59
TMEM178A,5,4,16,5
CPO,68,65,67,39
MDH1B,26,22,17,20
COL17A1,0,0,152,74
C2orf50,45,43,61,38
SLC66A3,1156,1216,1711,1227
TMEM182,87,93,117,81
AHSA2P,771,816,1202,889
FBXO36,55,41,60,44
MTERF4,945,1175,971,690
CCDC148,9,6,19,9
M1AP,4,2,7,1
CPNE4,128,66,160,77
MIX23,562,509,530,292
DNAJC19,482,430,445,291
COMT,6152,5587,9292,5318
COPA,6232,6008,9939,6145
TRIM71,12,15,2,5
FAM131A,10,9,8,3
CHCHD4,1128,958,980,561
COPB1,6156,6092,8193,5035
CRYBG3,147,137,163,106
DCBLD2,1294,1374,2056,1453
LRRC15,6,7,43,24
FAM43A,170,195,219,163
KLF6,1025,1002,1074,685
TPRA1,639,591,666,403
TMEM42,69,57,73,46
SLC31A1,2654,2513,2980,1717
SLC31A2,80,101,280,234
ERICH6,7,8,7,5
NUDT16,585,502,811,404
METTL6,677,743,830,514
ADK,2116,2208,2975,1933
TAMM41,490,477,594,352
IL17RE,167,139,275,205
GLYCTK,60,71,113,70
PPM1M,71,71,138,81
C3orf49,16,15,19,12
LSMEM2,289,200,274,152
RPL32P3,54,45,84,58
OCIAD2,573,575,1586,926
SCLT1,332,331,145,93
C4orf33,67,81,132,66
CORT,9,7,5,0
MAP3K8,134,95,197,114
LIN54,1097,1099,656,417
SPATA18,224,174,2673,1469
COX4I1,10137,9495,13497,7920
FAM241A,959,812,589,385
GNPDA2,96,67,110,61
CPEB2,301,277,426,346
COX5B,2989,2736,3927,2303
ARL9,11,13,3,1
AASDH,432,402,477,368
C4orf36,64,70,79,44
ADM,32,24,24,13
PACRGL,242,273,232,167
TRAM1L1,7,4,18,12
SLC9B2,105,96,119,78
SETD9,343,303,349,185
EMB,2739,2377,3620,2008
PPARGC1B,703,603,503,363
EGFLAM,1,0,31,14
PRRC1,3121,2967,4290,2485
NADK2,744,618,616,410
COX6A1,4783,4335,6293,3876
JMY,1198,1164,1834,1271
CCDC127,323,326,308,233
ADORA1,279,175,397,164
COX6B1,3345,3182,4223,2566
UBE2QL1,59,76,70,42
C5orf49,0,6,10,3
ATPSCKMT,625,599,511,324
CMBL,2379,2427,6854,3804
DNAJC21,1674,1735,2021,1163
AFAP1L1,7,5,2,4
GRPEL2,887,879,734,469
TMEM171,34,25,12,7
LSM11,383,411,323,217
POC5,472,448,352,207
STARD4,347,386,688,498
WDR36,1548,1567,1464,1022
NUDCD2,1141,1074,860,532
COX6C,6695,6891,11086,6887
UBLCP1,483,455,850,523
ACOT12,4,3,5,3
SOWAHA,288,336,40,56
SHROOM1,470,359,302,157
C5orf24,1433,1431,1764,1252
ADAT2,268,203,306,150
COX7A2,3705,3487,6362,3655
IRAK1BP1,52,57,90,49
COX7B,1464,1533,1728,1151
STXBP5,657,757,995,787
ADORA2A,21,20,37,25
COX7C,7123,6782,10294,6086
COX8A,4050,3932,4400,2801
NCOA7,517,514,360,238
HINT3,1062,891,1200,831
B3GAT2,478,450,638,431
SDHAF4,143,142,223,135
COX10,538,444,556,313
CD109,300,279,341,214
RAET1E,7,13,6,7
PM20D2,913,904,592,406
COX11,2058,1921,2423,1502
C6orf141,134,142,260,168
COX15,1483,1306,1960,1169
CP,81,73,124,70
TMEM270,18,28,36,34
TMEM139,9,9,6,8
ADORA2B,64,63,106,56
ZNF786,399,361,577,416
CPD,2026,1771,2433,1557
CPE,107,89,401,158
SVOPL,20,24,38,47
MTPN,3928,3827,4413,2890
LRGUK,2,1,8,5
CLDN4,5788,5429,11934,6926
CLDN3,1264,1056,1820,1094
CLDN7,3153,2555,3524,1856
MPLKIP,507,484,502,322
CPM,174,189,1427,718
SSC4D,24,31,22,16
CLDN23,185,173,355,256
CPOX,701,664,628,377
ZNF572,109,109,200,118
CPS1,135,159,152,95
CIBAR1,300,296,316,209
CPT1A,7597,7111,9168,5097
VPS37A,869,863,1069,727
CPT1B,150,155,260,192
CPT2,1011,939,1506,901
NDUFAF6,573,544,1188,650
TMEM68,328,302,771,410
ADHFE1,6,7,15,5
UBXN2B,842,895,1007,685
PXDNL,3,1,16,6
GPAT4,1282,1274,1416,899
LETM2,70,52,40,18
CR2,6,13,6,6
HGSNAT,215,268,511,344
CRABP1,200,175,236,177
NACC2,2324,2254,5248,3424
PIERCE1,222,245,261,175
CARNMT1,753,695,940,612
CRABP2,874,1012,1302,1170
C9orf85,175,144,314,193
DIPK1B,173,138,240,150
CRAT,1060,533,1576,561
PTRH1,289,252,278,200
PIP5KL1,150,141,167,101
TAF1L,53,46,65,38
CREB1,1685,1709,1549,1104
ATF2,935,931,1165,816
PTPDC1,406,379,290,181
ANKRD19P,290,273,437,238
CREBBP,5811,5529,5218,4018
ARID3C,4,3,2,4
RPP25L,486,341,525,296
ATF6B,1681,1506,3016,1624
CREBL2,1586,1725,2406,1534
CREM,366,353,396,222
SLITRK4,17,25,7,10
MAP2K4P1,30,28,68,31
PWWP3B,94,106,140,108
FAM199X,2884,2619,3099,2021
AMER1,335,347,307,213
APOOL,407,413,593,427
FUNDC1,442,437,708,439
DCAF8L1,10,6,17,12
UPRT,69,71,112,79
CRIP1,24,21,64,22
CRIP2,4525,4227,6396,4568
CRK,2232,2047,2512,1553
DOCK11,444,363,806,454
SPIN4,309,289,140,99
CRKL,3993,4007,6761,4167
AAMP,5330,4868,4564,2857
ASB6,1126,1074,1106,751
ASB7,667,625,989,648
ASB8,738,782,1279,742
ASB9,158,180,683,421
MYL6B,394,376,492,327
ZNF358,300,310,436,316
RNF32,354,414,497,387
APOBEC3D,5,5,8,2
S100A16,11027,9526,18326,10253
TCEAL2,43,37,65,38
SELENOM,136,147,205,137
NEK7,1507,1415,1487,1005
C20orf96,80,94,105,54
ZBTB46,528,491,507,365
GCNT7,3,5,4,3
NOL4L,624,562,716,475
MROH8,235,235,289,166
CRY1,511,560,560,355
SAMD10,222,186,297,164
ABHD16B,235,231,367,233
CCM2L,75,85,30,18
BRI3BP,7168,6506,4103,2676
SOGA1,5830,5985,4743,3862
TLDC2,31,27,27,18
RIMS4,1280,992,1323,960
MACROD2,31,32,45,15
DYNLL2,13009,12786,12496,7506
TMEM37,127,149,91,57
UBE2F,430,435,781,496
SMCR8,1347,1253,1678,1007
CRY2,463,543,853,661
RPL10L,10,4,9,9
TRPM6,10,5,20,8
SRXN1,2614,2338,2400,1383
ROMO1,1220,1122,1729,1094
NEURL2,10,8,8,9
ZSWIM3,159,137,187,148
NANP,439,452,401,217
ISM1,26,23,22,9
RIPOR3,203,137,1203,623
SIRPA,42,27,12,6
SREK1,1651,1748,1840,1369
RBBP8NL,440,393,339,232
CNBD2,11,7,16,4
STK35,1159,1150,1251,773
ADPRH,86,93,120,73
CRYBB2,17,10,20,12
CRYBB2P1,140,144,135,77
CRYBB3,297,296,660,450
PARP1,6377,6084,4384,2699
MIB2,572,499,840,588
DUSP19,35,44,55,48
SLC34A3,63,77,158,100
RAB40A,3,6,7,3
ASB14,52,57,44,33
CRYGS,5,2,3,6
SAMD8,608,653,710,484
CRYZ,783,755,822,543
LIPJ,10,11,20,7
CFL1P1,3,1,9,6
TRUB1,1211,1086,1463,986
PARP4,1782,1818,2429,1735
MPP7,1274,1422,2019,1301
CS,9994,9129,8980,5757
FRMPD2,1,1,59,40
VTI1A,654,741,948,579
MAPK14,1626,1709,2119,1502
EIF5AL1,2501,2264,1763,1078
HECTD2,357,378,341,285
FGFBP3,116,92,148,82
C10orf82,19,27,25,23
CACUL1,2439,2217,2949,1911
CSE1L,10159,9768,6224,4241
LDLRAD3,406,353,323,252
CSF1,90,69,163,104
XRRA1,365,360,535,354
CSF1R,2,3,5,5
LOC143666,45,43,27,25
C11orf94,2,6,7,2
FAM76B,297,273,203,139
SESN3,108,171,1020,986
PIWIL4,7,15,18,27
ARHGAP42,28,19,153,69
KBTBD3,58,71,101,67
CWF19L2,222,256,190,95
POGLUT3,640,676,392,234
TTC36,16,20,31,24
SPINDOC,742,781,487,381
PLEKHA7,924,884,1469,983
SPTY2D1,1387,1358,1615,1095
TMEM86A,149,149,439,240
DNHD1,68,77,151,122
PRICKLE1,23,34,1,6
SLC2A14,3,1,16,9
BCDIN3D,177,151,374,217
ALG10B,284,288,228,175
GLIPR1L2,1,4,4,4
ZNF664,7511,8030,8828,5855
ETFRF1,157,115,291,164
TMEM120B,715,605,1275,791
CFAP251,22,22,61,33
E2F7,831,884,601,378
SOCS2-AS1,16,26,40,21
CEP83-DT,14,13,10,2
CSK,3240,3021,3148,2242
KRT80,6294,7523,19514,17034
A2ML1,43,72,99,114
A2M-AS1,16,19,30,17
KICS2,915,766,1027,611
C12orf60,33,28,47,29
FBXL14,417,388,300,204
RAD9B,166,154,142,84
PHETA1,211,227,288,184
LACC1,173,164,861,490
HNRNPA1L2,1708,1655,1564,933
ST13P4,144,139,185,115
B3GLCT,255,298,280,154
CSNK1A1,7974,7237,10358,5833
RDH12,18,11,22,1
GSC,95,64,88,57
PRIMA1,237,214,9,8
MIPOL1,238,224,297,167
CSNK1D,3743,3552,4767,3183
PPP1R36,7,10,5,6
SLC38A6,189,186,206,143
CSNK1E,792,773,979,641
ARMH4,31,29,62,32
FRMD6-AS1,79,82,140,85
PTGR2,863,859,1381,967
FAM161B,137,141,290,161
CSNK1G2,1505,1416,1605,997
CEP128,388,417,52,45
MDP1,234,199,278,174
TTC7B,547,585,490,413
LRFN5,1114,1416,1164,1006
CSNK1G3,1396,1239,1746,1144
KIF23-AS1,89,85,34,26
CSNK2A1,2770,2565,2538,1693
C2CD4A,41,27,74,9
LYSMD4,203,210,314,203
FAM81A,97,62,48,26
GCOM1,445,392,460,311
LOC145783,55,58,70,34
PIERCE2,32,27,67,42
DRAIC,9,6,19,6
C15orf61,199,150,168,86
HAPLN3,4,3,16,5
CSNK2A2,557,541,664,411
NRG4,177,153,394,239
LINC00052,318,489,100,160
CSNK2B,3001,2697,3292,2169
ZSCAN29,578,632,892,513
TTBK2,261,348,317,318
CDAN1,590,619,534,341
ZFP90,660,760,1462,949
CARMIL2,139,95,61,41
CMTM4,5464,5321,6837,4616
BEAN1,2,2,7,4
TEKT5,15,17,36,17
FBXL16,1257,1225,1479,962
SSTR5-AS1,2,0,47,18
GSG1L,9,22,23,35
CSPG4,6,8,19,11
SLC22A31,52,63,26,26
ZNF597,211,181,307,181
BICDL2,660,585,1562,888
TMED6,7,10,12,9
CSRP1,1772,1516,2391,1415
FLJ30679,14,9,12,7
ZNF785,206,248,330,229
ZNF688,235,236,264,165
PRSS36,18,14,22,14
DNAAF8,34,34,44,36
CSRP2,88,65,31,18
MGAT5B,62,97,77,53
TOM1L2,816,723,2053,1547
TEPSIN,328,328,510,337
B3GNTL1,210,187,223,143
RBFOX3,5,5,3,2
DNAH2,4,5,11,1
RTN4RL1,654,590,845,580
EFCAB3,7,7,10,5
SLC25A10,2397,2324,1630,1219
CDRT15,3,3,3,3
CFAP52,8,14,5,7
ARHGAP27P1,194,209,484,356
KIF18B,845,822,43,45
RUNDC1,583,613,911,608
EME1,691,621,369,235
ADRA1B,6,7,9,8
TMEM199,1253,1173,1413,801
PROCA1,59,49,47,30
DHRS13,681,654,263,160
KCTD11,117,111,243,158
LINC02210,172,201,276,220
CST3,2309,2080,4988,2828
NOTUM,13,9,4,1
TMC8,35,24,49,36
TRIM16L,1234,1112,2067,1272
WIPF2,1350,1375,1812,1094
KRT10-AS1,123,77,285,141
C18orf25,868,772,998,694
CST6,1,0,11,8
SLC25A52,28,27,39,29
ANKRD29,8,4,21,12
APCDD1,38,35,55,35
CSTA,130,110,339,156
LINC00526,7,5,15,4
CSTB,1500,1412,2075,1158
VSIG10L,125,121,97,69
SPACA6,264,195,350,201
ZNF480,1417,1540,1808,1095
ZNF534,6,2,4,2
ZNF578,31,33,36,23
ZNF418,171,187,197,114
ZNF417,450,438,691,430
ZNF548,201,200,343,238
PPM1N,34,28,53,45
CSTF1,1741,1732,1789,1209
KLC3,158,171,174,127
ILF3-DT,675,608,674,404
TMEM190,19,18,24,11
HIPK4,9,6,6,8
TMC4,524,340,1943,1064
CSTF2,1026,967,808,539
TPM3P9,326,340,325,248
ZNF524,275,226,425,248
ZNF784,205,154,195,121
ZNF563,54,66,142,105
SPC24,969,929,111,91
CSTF3,1099,1111,1113,701
DACT3,11,10,20,12
SIX5,480,417,661,465
IGFL2,0,1,11,4
